ManagerName,PrivateFundName,PrivateFundGrossAssetValue,FilingDate
"83north Management, LTD.","83NORTH II, LIMITED PARTNERSHIP","532,115,000.00",4/1/2021
"83north Management, LTD.","83NORTH III, LIMITED PARTNERSHIP","394,050,000.00",4/1/2021
"A&M Capital Advisors, LP","A&M CAPITAL OPPORTUNITIES FUND, LP","610,506,128.00",5/3/2022
"A&M Capital Advisors, LP","A&M CAPITAL PARTNERS II, LP","2,803,377,840.00",5/3/2022
"A&M Capital Advisors, LP","A&M CAPITAL PARTNERS III, LP","901,829,508.00",5/3/2022
"A&M Capital Advisors, LP","A&M CAPITAL STRATEGIC INVESTMENTS, LP","107,955,073.00",5/3/2022
Abbott Capital Management LLC,"ABBOTT CAPITAL PRIVATE EQUITY INVESTORS 2020 (A), L.P.","235,675,368.00",7/26/2022
Abbott Capital Management LLC,"ABBOTT CAPITAL PRIVATE EQUITY INVESTORS 2020, L.P.","83,314,677.00",7/26/2022
Abbott Capital Management LLC,"ABBOTT CAPITAL PRIVATE EQUITY INVESTORS 2021, L.P.","161,237,449.00",7/26/2022
Abbott Capital Management LLC,"ABBOTT CAPITAL PRIVATE EQUITY INVESTORS 2022, L.P.","40,804,000.00",7/26/2022
Abbott Capital Management LLC,"ABBOTT SECONDARY OPPORTUNITIES II, L.P.","454,401,635.00",7/26/2022
Aberdeen Asset Management Inc.,"ABERDEEN ASIA PACIFIC FUND II, L.P.","179,754,260.00",5/2/2018
Aberdeen Asset Management Inc.,"ABERDEEN ASIA PACIFIC FUND, L.P.","64,532,675.00",5/2/2018
Aberdeen Asset Management Inc.,"ABERDEEN ASIA PACIFIC III EX-CO-INVESTMENT, L.P.","19,151,480.00",5/2/2018
Aberdeen Asset Management Inc.,"ABERDEEN EMERGING ASIA FUND, L.P.","247,870,223.00",5/2/2018
Aberdeen Asset Management Inc.,"ABERDEEN EMERGING ASIA PACIFIC III EX-CO-INVESTMENTS, L.P.","6,553,602.00",5/2/2018
"Aberdeen Capital Management, LLC","ABERDEEN ASIA PACIFIC FUND II, L.P.","140,586,810.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN ASIA PACIFIC FUND, L.P.","79,610,625.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN ASIA PACIFIC III EX-CO-INVESTMENT, L.P.","28,113,427.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN ASIA PARTNERS III, L.P.","87,063,746.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN EMERGING ASIA FUND, L.P.","191,063,932.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN EMERGING ASIA PACIFIC III EX-CO-INVESTMENTS, L.P.","10,190,186.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN U.S. PRIVATE EQUITY V SPV-A, L.P.","16,258,281.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN U.S. PRIVATE EQUITY VI SPV-A, L.P.","23,101,146.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN VENTURE PARTNERS VII SPV-A, L.P.","718,681.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN VENTURE PARTNERS VIII SPV-B, L.P.","10,140,965.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN VENTURE PARTNERS VIII SPV-C, L.P.","4,491,556.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN VENTURE PARTNERS X SPV-A, L.P.","6,334,585.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN VENTURE PARTNERS X SPV-B, L.P.","4,206,477.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN VENTURE PARTNERS XI SPV-A, L.P.","5,986,389.00",12/5/2022
"Aberdeen Capital Management, LLC","ABERDEEN VENTURE PARTNERS XI SPV-B, L.P.","4,726,872.00",12/5/2022
Accel London Management Limited,ACCEL LONDON INVESTORS 2019 L.P.,"17,444,972.00",3/29/2022
Accel London Management Limited,ACCEL LONDON VI INVESTORS (2020) L.P.,"21,106,216.00",3/29/2022
Accel London Management Limited,ACCEL LONDON VI L.P.,"1,425,008,736.00",3/29/2022
Accel London Management Limited,ACCEL LONDON VI STRATEGIC PARTNERS L.P.,"35,338,832.00",3/29/2022
Accel London Management Limited,ACCEL LONDON VII ENTREPRENEURS L.P.,"37,381,800.00",3/29/2022
Accel London Management Limited,ACCEL LONDON VII INVESTORS (2021) L.P.,"53,734,496.00",3/29/2022
Accel London Management Limited,ACCEL LONDON VII L.P.,"641,647,906.00",3/29/2022
"Accel Partners Management, LLP",ACCEL LONDON INVESTORS 2016 L.P.,"35,798,701.00",3/31/2022
"Accel Partners Management, LLP",ACCEL LONDON INVESTORS 2019 L.P.,"17,444,972.00",3/31/2022
"Accel Partners Management, LLP",ACCEL LONDON V L.P.,"4,219,827,180.00",3/31/2022
"Accel Partners Management, LLP",ACCEL LONDON V STRATEGIC PARTNERS L.P.,"64,666,276.00",3/31/2022
"Accel Partners Management, LLP",ACCEL LONDON VI INVESTORS (2020) L.P.,"21,106,216.00",3/31/2022
"Accel Partners Management, LLP",ACCEL LONDON VI L.P,"1,425,008,736.00",3/31/2022
"Accel Partners Management, LLP",ACCEL LONDON VI STRATEGIC PARTNERS LP,"35,338,832.00",3/31/2022
"Accel Partners Management, LLP",ACCEL LONDON VII ENTREPRENEURS L.P.,"37,381,800.00",3/31/2022
"Accel Partners Management, LLP",ACCEL LONDON VII INVESTORS (2021) L.P.,"53,734,496.00",3/31/2022
"Accel Partners Management, LLP",ACCEL LONDON VII L.P.,"641,647,906.00",3/31/2022
"Acceleprise VC Fund I, LP","ACCELEPRISE VC FUND I, LP","7,219,299.00",2/14/2023
Access Holdings Management Company LLC,ACCESS CAR WASH CO-INVESTMENT LP,"270,326,011.00",9/4/2022
Access Holdings Management Company LLC,ACCESS HOLDINGS (FPG FEEDER) II L.P.,"37,484,956.00",9/4/2022
Access Holdings Management Company LLC,ACCESS HOLDINGS (FPG MANAGEMENT PARALLEL) L.P.,"12,108,020.00",9/4/2022
Access Holdings Management Company LLC,ACCESS HOLDINGS (FPG) FEEDER L.P.,"229,396,674.00",9/4/2022
Access Holdings Management Company LLC,ACCESS HOLDINGS (FPG) L.P.,"489,007,856.00",9/4/2022
Access Holdings Management Company LLC,ACCESS HOLDINGS FUND I LP,"578,175,060.00",9/4/2022
Access Holdings Management Company LLC,ACCESS HOLDINGS FUND II CO-INVESTMENT LP,"36,500,000.00",9/4/2022
Access Holdings Management Company LLC,ACCESS HOLDINGS FUND II LP,"163,371,000.00",9/4/2022
Access Holdings Management Company LLC,ACCESS HOLDINGS FUND II-A LP,"58,460,000.00",9/4/2022
Access Holdings Management Company LLC,ACCESS PET CO-INVESTMENT II LLC,"28,633,000.00",9/4/2022
Access Holdings Management Company LLC,ACCESS PET CO-INVESTMENT II LP,"104,898,494.00",9/4/2022
Access Holdings Management Company LLC,ACCESS PET CO-INVESTMENT LP,"81,936,629.00",9/4/2022
Access Holdings Management Company LLC,"ACCESS PET FEEDER, LLC","164,222,600.00",9/4/2022
Access Holdings Management Company LLC,ACCESS PET HOLDCO INC,"19,081,922.00",9/4/2022
Access Holdings Management Company LLC,ACCESS SPORTS CO-INVESTMENT LP,"20,129,693.00",9/4/2022
Access Holdings Management Company LLC,ACCESS SPORTS HOLDINGS LLC,"171,920,999.00",9/4/2022
Access Holdings Management Company LLC,KUV ACCESS ATS FEEDER LP,"25,221,600.00",9/4/2022
Access Holdings Management Company LLC,KUV ACCESS BNYH FEEDER LP,"38,083,278.00",9/4/2022
"Accolade Capital Management, LLC","ACCOLADE EMPOWERMENT FUND, L.P.","201,290,131.00",9/13/2022
"Accolade Capital Management, LLC","ACCOLADE PARTNERS BLOCKCHAIN I, L.P.","92,192,279.00",9/13/2022
"Accolade Capital Management, LLC","ACCOLADE PARTNERS BLOCKCHAIN II SELECT, L.P.","99,049,393.00",9/13/2022
"Accolade Capital Management, LLC","ACCOLADE PARTNERS BLOCKCHAIN II, L.P.","192,913,207.00",9/13/2022
"Accolade Capital Management, LLC","ACCOLADE PARTNERS GROWTH I, L.P.","304,511,399.00",9/13/2022
"Accolade Capital Management, LLC","ACCOLADE PARTNERS GROWTH I-A, L.P.","54,951,714.00",9/13/2022
Accomplice Management LLC,"ACC CERTAMEN 2021 INVESTORS, LLC","1,499,249.00",3/29/2022
Accomplice Management LLC,"ACC COINLIST 2021 INVESTORS, LLC","16,428,282.00",3/29/2022
Accomplice Management LLC,"ACC ORCHARD 2021 INVESTORS, LLC","8,499,249.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE DR 2020 INVESTORS, LLC","1,558,556.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE FB 2021 INVESTORS, LLC","25,684,249.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE FORTUITY POOL, LP","280,735,532.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE FUND I, L.P.","1,145,726,403.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE FUND II, L.P.","3,540,900,547.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE FUND III, LP","223,010,532.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE GHG 2021 INVESTORS, LLC","2,999,249.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE ON 2021 INVESTORS, LLC","3,999,244.00",3/29/2022
Accomplice Management LLC,ACCOMPLICE PLASTIQ INVESTORS LLC,"1,632,906.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE PROLETARIAT INVESTORS, LLC","1,795,930.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE SKILLZ 2020 INVESTORS, LLC","10,427.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE SPORTRADAR SPV 2020, LLC","2,756,391.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE SSC 2021 INVESTORS, LLC","3,499,249.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE TAPP 2021 INVESTORS, LLC","3,434,249.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE TAPPP 2020 INVESTORS, LLC","1,017,764.00",3/29/2022
Accomplice Management LLC,ACCOMPLICE U SPV LLC,"29,440,022.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE WHOOP 2020 INVESTORS, LLC","8,045,820.00",3/29/2022
Accomplice Management LLC,"ACCOMPLICE WHOOP 2021 INVESTORS, LLC","599,192.00",3/29/2022
Accomplice Management LLC,ACCOMPLICE WHOOP INVESTORS LLC,"11,550,933.00",3/29/2022
Accomplice Management LLC,"SIDECAR I, LP, A SERIES OF SH SIDECAR FUNDS, LP","5,059,627.00",3/29/2022
"ACE Redpoint Management Company, Ltd","ACE REDPOINT CHINA STRATEGIC I, L.P.","3,822,395.00",3/14/2022
"ACE Redpoint Management Company, Ltd","ACE REDPOINT OPPORTUNITY CHINA, L.P.","106,462,327.00",3/14/2022
"ACE Redpoint Management Company, Ltd","ACE REDPOINT VENTURES CHINA I, L.P.","291,559,653.00",3/14/2022
"ACE Redpoint Management Company, Ltd","ACE REDPOINT VENTURES CHINA II, L.P.","375,507,626.00",3/14/2022
"Aceleradora 500 Luchadores S.A., DE C.V.","500 LUCHADORES II, L.P.","12,532,271.00",3/29/2022
"Aceleradora 500 Luchadores S.A., DE C.V.","500 LUCHADORES III, L.P.","24,055,399.00",3/29/2022
"Aceleradora 500 Luchadores S.A., DE C.V.","500 LUCHADORES, L.P.","14,260,148.00",3/29/2022
"Achieve Partners Management, LLC","ACHIEVE CYBERSECURITY SPV, LLC","28,887,672.00",10/12/2022
"ACM Management Company, LLC","ACM FUND II, LLC","382,909,808.00",3/29/2022
"ACM Management Company, LLC",ACM PERMANANT CROPS LLC,"352,368,274.00",3/29/2022
"Acorn Pacific Ventures, LLC","ACORN PACIFIC OPPORTUNITIES FUND, LP","14,504,669.00",3/23/2022
"Acorn Pacific Ventures, LLC","ACORN PACIFIC VENTURES FUND II, LP","1,660,833.00",3/23/2022
"Acrew Capital Management, L.P.","ACREW CAPITAL EXECUTIVE FUND II (A), L.P.","17,387,262.00",3/25/2022
"Acrew Capital Management, L.P.","ACREW CAPITAL FUND II (A), L.P.","24,964,572.00",3/25/2022
"Acrew Capital Management, L.P.","ACREW CAPITAL FUND II, L.P.","332,300,544.00",3/25/2022
"Acrew Diversify Capital Management, L.P.","ACREW DCF EXABEAM SPV, L.P.","99,039,635.00",4/4/2022
"Acrew Diversify Capital Management, L.P.","ACREW DIVERSIFY CAPITAL EXECUTIVE FUND (A), L.P.","5,984,859.00",4/4/2022
"Acrew Diversify Capital Management, L.P.","ACREW DIVERSIFY CAPITAL EXECUTIVE FUND, L.P.","27,941,114.00",4/4/2022
"Acrew Diversify Capital Management, L.P.","ACREW DIVERSIFY CAPITAL FUND (A), L.P.","31,406,743.00",4/4/2022
"Acrew Diversify Capital Management, L.P.","ACREW DIVERSIFY CAPITAL FUND (G), L.P.","3,081,308.00",4/4/2022
"Acrew Diversify Capital Management, L.P.","ACREW DIVERSIFY CAPITAL FUND, L.P.","242,067,447.00",4/4/2022
"Acrew Diversify Capital Management, L.P.","ACREW K SPV, L.P.","32,192,093.00",4/4/2022
"Acrew Diversify Capital Management, L.P.","ACREW KW SPV, L.P.","1,990,524.00",4/4/2022
"Acrew Diversify Capital Management, L.P.","ACREW T SPV, L.P.","2,990,500.00",4/4/2022
Acrylic Management LLC,ARCHETYPE CRYPTO I LP,"45,071,735.00",3/18/2022
Acrylic Management LLC,ARCHETYPE CRYPTO I-A LP,"10,779,017.00",3/18/2022
Activant Capital Group LLC,"ACTIVANT CAPITAL IV, LP","490,235,582.00",11/3/2022
Activant Capital Group LLC,"ACTIVANT VENTURES II, LP","698,460,304.00",11/3/2022
Activant Capital Group LLC,"ACTIVANT VENTURES III, LP","1,034,639,238.00",11/3/2022
Acumen Latam Capital Partners LLC,ACUMEN LATIN AMERICA EARLY GROWTH FUND LP,"27,258,254.00",3/31/2022
"Adams Street Partners, LLC",ASP CO-INVESTMENT CARRY III LP,"42,934,716.00",1/6/2023
"Adams Street Partners, LLC","ASP CO-INVESTMENT PARTNERS 2006, L.P.","214,886.00",1/6/2023
"Adams Street Partners, LLC","ASP CO-INVESTMENT PARTNERS II, L.P.","3,101,169.00",1/6/2023
"Adams Street Partners, LLC",ASP CO-INVESTMENT PARTNERS III LP,"12,077,064.00",1/6/2023
"Adams Street Partners, LLC",ASP GROWTH EQUITY PARTNERS VII LP,"9,881,979.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS - SECONDARY MANDATES FUND LP,"10,513,767.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS 2002, L.P.","130,857.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS 2003, L.P.","202,442.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS 2004, L.P.","431,617.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS 2005, L.P.","323,033.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS 2006, L.P.","1,028,499.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS 2007, L.P.","2,841,162.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS 2008, L.P.","7,880,977.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS 2009, L.P.","10,344,030.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS 2010, L.P.","8,166,157.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2011 LP,"9,345,605.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2012 LP,"15,531,306.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2013 LP,"16,507,281.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2014 LP,"22,115,094.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2015 LP,"29,494,713.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2016 LP,"8,943,472.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2017 LP,"12,653,770.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2018 LP,"10,172,086.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2019 LP,"4,965,256.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2020 LP,"7,850,407.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS 2021 LP,"8,463,581.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS ASGOS II, L.P.","17,136,012.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS ASIA 2020 LP,,0  2023-01-06
"Adams Street Partners, LLC",ASP PARTNERS CO-INVESTMENT IV LP,"22,785,082.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS GLOBAL SECONDARY FUND 5 LP,"41,956,167.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS GSF 6 LP,"14,875,836.00",1/6/2023
"Adams Street Partners, LLC","ASP PARTNERS PRE-2006 SECONDARY POOL, L.P.","3,853,284.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS PRIVATE CREDIT FUND II LP,"12,436,500.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS PRIVATE CREDIT FUND LP,"16,641,878.00",1/6/2023
"Adams Street Partners, LLC",ASP PARTNERS SMB LP,"6,564,728.00",1/6/2023
