model;architecture;parameters;modality;objective;highlights;paper;code
ProbES [182];LSTM, ViLBERT;-;image-text;Ranking loss;Prompt-based learning for VLN based on CLIP;ACL-2022;https://github.com/liangcici/Probes-VLN
GLIP [183];BERT;394M;image-text;CS;Unifying the object detection and grounding into a unified framework;CVPR-2022;https://github.com/microsoft/GLIP
VLP-MABSA [127];BERT;-;image-text;MLM, AOE, MRM,AOG, MSP;Task-specific VL-PTMs;ACL-2022;Code
R2D2 [184];ViT, BERT;-;image-text;GCPR, FGR, MLM;A two-way distillation strategy is proposed, i.e., target- and feature-guided distillation;arXiv-2022;https://github.com/NUSTM/VLP-MABSA
DeCLIP [19];ViT;276M;image-text;InfoNCE, SS, MVS, NNS;Learn generic visual features in a data efficient way;ICLR-2022;-
DeFILIP [136];ViT, ResNet;-;image-text;CS;A benchmark for CLIP and its variants;arXiv-2022;https://github.com/Sense-GVT/DeCLIP
SLIP [185];ViT;38M;image-text;CS, InfoNCE;Combine the self-supervised learning and CLIP pre-training in a multi-task framework;arXiv-2021;https://github.com/Sense-GVT/DeCLIP
FILIP [186];ViT;-;image-text;CS;Cross-modal interactive learning for finer-level alignment;arXiv-2021;https://github.com/facebookresearch/SLIP
SemVLP [187];Trans;2.1B;image-text;MLM, MOP, ITM, QA;Fuse the single- and two-stream architectures;arXiv-2021;-
CoCa [188];Trans;-;image-text;CS, ITG;Jointly pre-train image text model with contrastive loss and captioning loss;arXiv-2022;-
HiVLP [189];Trans;-;image-text;LRM, HRL, VLM;Accelerate image-text retrieval via hierarchical retrieval;arXiv-2022;-
CLIP-Event [135];Trans;-;image-text;CS;Consider event structural knowledge and prompts in the pre-training phase.;CVPR-2022;-
AudioCLIP [190];Trans;30M;image-text-audio;CS;Build a triplet modality based PTMs like CLIP;ICASSP-2022;https://github.com/limanling/clip-event
VL-BEiT [191];Trans;-;image-text;MLM, MIM, MVLM;Share the Transformer network on both monomodal and multimodal-data;arXiv-2022;https://github.com/AndreyGuzhov/AudioCLIP
MV-GPT [192];BERT;117M;image-text;MLM, LG;Pre-train both a multi-modal video encoder and a sentence decoder jointly.;arXiv-2022;https://github.com/microsoft/unilm
MMKD [193];BERT;-;image-text;ITM;Iteratively execute knowledge discovery and model pre-training for continuous learning;arXiv-2022;-
GLIPv2 [194];Swin, BERT;-;image-text;PGL, CS, MLM;Serves both the localization and understanding tasks.;arXiv-2022;-
LIMoE [195];Trans;675M;image-text;CS;multi-modal pre-training with a sparse mixture of experts model;arXiv-2022;https://github.com/microsoft/GLIP
VLMixer [196];Trans;-;image-text;MLM, CMCL, MTM;Implicit cross-modal alignment learning in unpaired VLP.;arXiv-2022;-
ProtoCLIP [138];Trans;-;image-text;CS;Combine the CLIP loss and prototypical supervisions for VLP.;arXiv-2022;https://github.com/ttengwang/VLMixer
i-Code [131];Trans;906M;image-text-audio;MLM, MVM, MSM, CS;It can handle different combinations of modalities (such as single-, dual-, and triple-modality) into a single representation space.;arXiv-2022;https://github.com/megvii-research/protoclip
